ct2010,MedianRent2016,MedianRent2012,Change20162012,UnempRate2016,eviction-rate,eviction-filing-rate,rent-burden,poverty-rate,TotalEMployees,FoodServicePct,FinancialPct,EducationPct,SocialServPct,ConstructionPct,Shipping_Manuf
035601,898,887,11,11.5,0.12,2.54,49,13.48,1259,0.033359809372518,0.01032565528197,0.038919777601271,0.052422557585385,0.011914217633042,0.211278792692613
076800,1295,1166,129,10.8,0.12,3.42,41.4,18.06,1401,0.026409707351892,0.064953604568166,0.244825124910778,0,0.014275517487509,0.129193433261956
008500,395,409,-14,29.5,0.13,0.4,29.2,47.88,1623,0.072088724584104,0,0.040665434380776,0.028342575477511,0.009242144177449,0.18237831176833
011700,1711,1433,278,8.9,0.13,1.04,28.6,11.63,1611,0.069522036002483,0.13780260707635,0.058969584109249,0.026070763500931,0.007448789571695,0.076970825574178
012902,2167,1864,303,3.6,0.13,1.13,28.9,5,1325,0.01811320754717,0.08,0.088301886792453,0.02188679245283,0.012830188679245,0.028679245283019
044400,1225,1181,44,4.2,0.13,2.46,44,17.67,1230,0.039024390243903,0.045528455284553,0.126016260162602,0.015447154471545,0.007317073170732,0.094308943089431
009800,1303,1073,230,7.1,0.14,1.37,39.8,46.78,3143,0.186764237989182,0.010499522748966,0.027362392618517,0,0.13522112631244,0.157811008590519
006500,2138,1913,225,6.2,0.15,1.41,25.3,2.95,3687,0.029292107404394,0.088418768646596,0.061296446975861,0.008950366151343,0.010577705451587,0.008679142934635
007700,2166,1869,297,5.5,0.15,1.1,21.3,5.09,3026,0.010575016523463,0.076999339061467,0.049900859220093,0.011896893588896,0.002974223397224,0.007931262392597
037000,1263,1153,110,5.6,0.15,5.8,38.8,8.89,1921,0.02498698594482,0.033315981259761,0.046330036439355,0.014055179593962,0.064549713690786,0.108797501301406
045600,1290,1142,148,10.2,0.15,3.81,43.6,22.41,839,0,0.036948748510131,0.042908224076281,0.01311084624553,0.030989272943981,0.209773539928486
047700,2342,1774,568,3,0.15,1.14,29,8.85,2822,0.050673281360737,0.08008504606662,0.040396881644224,0.009922041105599,0.016300496102055,0.049964564138909
053100,1676,1513,163,1.3,0.15,1.05,50,45.02,2411,0.020323517212775,0.022812111157196,0.22563251762754,0.034425549564496,0.006636250518457,0.060970551638324
056900,1834,1553,281,3.8,0.15,0.87,27.7,7.48,1086,0.048802946593002,0.061694290976059,0.056169429097606,0,0.010128913443831,0.031307550644567
005602,1307,1210,97,3.5,0.16,2.45,31.4,6.27,908,0.022026431718062,0.069383259911894,0.1784140969163,0,0.003303964757709,0.085903083700441
055700,2070,1957,113,5.7,0.16,1.55,23.1,2.89,1305,0.019157088122605,0.152490421455939,0.036015325670498,0,0.012260536398468,0.01455938697318
023100,1510,1208,302,9.7,0.17,2.11,50,47.46,2239,0.03841000446628,0.081732916480572,0.074140241179098,0.016078606520768,0.013845466726217,0.075033497096918
026200,1199,990,209,13.9,0.17,1.77,32.2,18.01,1110,0.078378378378378,0.047747747747748,0.051351351351351,0,0.069369369369369,0.097297297297297
055800,1134,1101,33,11,0.17,6.34,34.1,13.4,1149,0.049608355091384,0.02088772845953,0.076588337684944,0.017406440382942,0.040034812880766,0.113141862489121
049600,1612,1224,388,6.7,0.18,2.49,29.5,8.6,2012,0.10934393638171,0.0720675944334,0.061630218687873,0.064612326043738,0.039264413518887,0.101888667992048
050900,1250,1102,148,3.3,0.18,1.41,48,53.39,1050,0.012380952380952,0.020952380952381,0.187619047619048,0.040952380952381,0,0.073333333333333
150200,1830,1590,240,3.7,0.18,0.55,27.8,2.35,1725,0.060869565217391,0.069565217391304,0.081739130434783,0.010434782608696,0.004057971014493,0.036521739130435
018000,1295,1234,61,6.2,0.19,1.94,25.2,1.13,1613,0.025418474891507,0.052076875387477,0.077495350278983,0.012399256044637,0.194668319900806,0.086174829510229
029600,1313,1022,291,7.2,0.19,4.41,37.1,13.38,2540,0.041732283464567,0.023622047244095,0.054330708661417,0.001968503937008,0.076771653543307,0.082283464566929
011400,1159,946,213,3.5,0.2,1.09,36.1,26.08,1554,0.185328185328185,0.047619047619048,0.076576576576577,0,0,0.068211068211068
031400,959,896,63,7.7,0.2,2,30.6,14.19,2208,0.03125,0.033061594202899,0.046648550724638,0.01268115942029,0.046648550724638,0.09375
039400,1405,1101,304,12.3,0.2,3.86,37.5,7.01,754,0.053050397877984,0.023872679045093,0.091511936339523,0.014588859416446,0.023872679045093,0.106100795755968
056300,1680,1290,390,7.6,0.2,1.01,30.3,20.55,2867,0.099058249040809,0.098011859086153,0.050575514475061,0.010812696198117,0.033833275200558,0.026508545517963
